Country,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2
AFG,0,0.32,2.77,5.88,9,13.6,17.41,19.65,20.86,0.09
ALB,0,3.12,32.76,80,148.83,264.12,388.3,497.47,590.24,2
DZA,0,2.86,26.94,60.29,97.94,153.55,202.49,232.58,246.62,1.02
AGO,0,1.93,15.38,30.1,40.5,53.8,60.49,59.47,54.91,0.32
ATG,0,8.31,80.55,184.05,311.23,507.37,685.84,800.29,862.83,3.44
ARG,0,7.21,70.25,160.07,266.84,426.25,566.63,654.02,698.86,2.85
ARM,0,2.42,25.65,62.53,114.72,200.7,291.59,367.64,426.64,1.49
AUS,0,36.04,343.22,769.73,1250.79,1942.6,2502.8,2785.95,2862.86,12.49
AUT,0,34.19,352.22,838.89,1487.43,2506.64,3475.79,4132.76,4493.51,17.32
AZE,0,4.03,40.15,93.71,162.99,272.81,379.65,457.06,505.29,1.92
BHS,0,14.96,146.06,336.19,571.36,930.21,1256.99,1470.87,1588.5,6.32
BHR,0,11.65,104.78,232.61,382.47,610.38,813.6,946.8,1031.28,4.13
BGD,0,0.52,5.02,11.48,19.45,31.88,43.73,52.38,58.37,0.22
BRB,0,11.9,123.7,297.25,534.31,907.41,1260.76,1497.99,1628.25,6.26
BLR,0,4.51,48.45,118.69,216.43,370.36,520.24,624.92,681.69,2.59
BEL,0,32.02,325.78,764.28,1322.01,2170.28,2931.84,3395.64,3601.16,14.54
BLZ,0,2.7,24.27,52.68,83.02,127.51,164.71,186.07,195.78,0.84
BEN,0,0.44,3.69,7.5,10.66,14.83,17.4,17.83,17.12,0.09
BTN,0,1.46,14.11,32.3,54.72,89.6,123.13,148.06,165.09,0.63
BOL,0,1.31,12.2,26.94,43.22,67.13,87.31,99.04,104.57,0.44
BIH,0,3.78,40.53,99.91,186.58,328.68,475.7,594.37,680.21,2.41
BWA,0,4.07,37.36,82.04,130.94,203.42,266.04,303.88,322.33,1.35
BRA,0,7.95,79.37,185.52,322.84,539.72,752.51,913.97,1027.01,3.83
BRN,0,23.73,227.83,519.32,876.83,1434.41,1966.27,2345.91,2580.01,9.97
BGR,0,5.61,62.99,160.1,307.91,554.28,818.35,1030.9,1170.52,4.11
BFA,0,0.33,2.72,5.46,7.64,10.53,12.26,12.5,11.96,0.06
BDI,0,0.13,1.07,2.13,2.92,3.94,4.5,4.49,4.2,0.02
CPV,0,2.26,21.36,47.86,78.59,125.07,167.05,195.48,213.18,0.85
KHM,0,0.52,4.88,10.89,17.76,28.06,37.18,43,46.23,0.19
CMR,0,0.7,5.92,12.11,17.32,24.19,28.45,29.2,28.04,0.15
CAN,0,33.01,322.64,738.45,1238.2,1978.22,2605.21,2952.18,3082.92,12.95
CAF,0,0.31,2.68,5.54,8.11,11.61,13.99,14.77,14.64,0.07
TCD,0,0.5,4.12,8.29,11.63,16.09,18.83,19.31,18.61,0.1
CHL,0,9.06,89.83,208.47,358.6,592.02,812.38,966.34,1061.54,4.1
CHN,0,3.29,34.16,82.35,149.81,260.97,376.35,467.29,529.98,1.9
COL,0,4.4,43.78,102.25,178.19,298.73,416.93,505.7,567.23,2.12
COM,0,0.47,4.11,8.67,13,19.01,23.36,25.06,25.12,0.12
COG,0,0.1,0.83,1.64,2.25,3.06,3.54,3.59,3.44,0.02
CRI,0,5.68,55.84,128.94,220.72,364.03,500.92,600.15,666.44,2.54
CIV,0,0.73,6.17,12.56,17.77,24.5,28.37,28.6,26.96,0.15
HRV,0,11.15,122.82,305.54,572.99,1012.36,1469.81,1833.89,2087.94,7.42
CUB,0,4.31,45.1,109.1,199.01,347.65,503.31,624.38,704.98,2.54
CYP,0,16.29,161.64,373.29,634.43,1034.17,1403.41,1652.46,1797.04,7.07
CZE,0,14.98,158.34,384.62,694.04,1180.23,1661,2005.77,2191.14,8.29
COD,0,2.78,23.22,46.82,65.59,89.99,103.76,104.15,97.86,0.53
DNK,0,42.74,432.43,1011.74,1743.44,2839.86,3794.09,4349.11,4588.07,18.8
DJI,0,0.82,7.69,17.19,28.26,45.18,60.67,71.28,77.73,0.31
DMA,0,5.06,51.47,122.37,217.51,370.16,525.51,649.71,744.73,2.69
DOM,0,3.68,35.7,81.56,137.62,224.08,304.49,360.14,395.62,1.54
ECU,0,3.09,29.02,64.7,105.36,165.99,218.79,251.39,268.69,1.11
EGY,0,1.6,14.67,31.8,49.49,74.91,95.1,104.95,107.63,0.48
SLV,0,2.54,25.56,59.82,104.12,173.87,242.32,295.59,337,1.24
