Country,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2
AFG,,0,0.01,0.02,0.04,0.08,0.12,0.15,0.17,0.57
ALB,,0,0,0,0,0,0,0,0,0
DZA,,0,0.01,0.02,0.03,0.06,0.09,0.11,0.13,0.45
AGO,,0,0.01,0.02,0.05,0.14,0.27,0.46,0.68,1.63
ATG,,0,0,0,0,0,0,0,0,0
ARG,,0,0.01,0.02,0.03,0.06,0.08,0.1,0.11,0.41
ARM,,0,0,0,0,0,0,0,0,0
AUS,,0,0,0.01,0.01,0.02,0.03,0.04,0.05,0.17
AUT,,0,0,0,0,0,0,0,0,0.01
AZE,,0,0,0,0,0,0,0,0,0.01
BHS,,0,0,0,0,0,0,0,0,0
BHR,,0,0,0,0,0,0,0,0,0
BGD,,0.01,0.1,0.24,0.44,0.73,0.98,1.12,1.15,4.77
BRB,,0,0,0,0,0,0,0,0,0
BLR,,0,0,0,0,0,0,0,0,0.01
BEL,,0,0,0,0,0,0,0,0.01,0.02
BLZ,,0,0,0,0,0,0,0,0,0
BEN,,0,0,0,0.01,0.01,0.02,0.04,0.05,0.13
BTN,,0,0,0,0,0,0,0,0,0
BOL,,0,0,0,0,0,0.01,0.01,0.01,0.04
BIH,,0,0,0,0,0,0,0,0,0
BWA,,0,0,0,0,0,0,0,0,0
BRA,,0.02,0.15,0.35,0.59,0.94,1.24,1.37,1.38,6.04
BRN,,0,0,0,0,0,0,0,0,0
BGR,,0,0,0,0,0,0,0,0,0
BFA,,0,0,0.01,0.02,0.04,0.08,0.12,0.17,0.44
BDI,,0,0,0,0.01,0.02,0.03,0.05,0.07,0.17
CPV,,0,0,0,0,0,0,0,0,0
KHM,,0,0,0,0.01,0.01,0.01,0.02,0.02,0.06
CMR,,0,0,0.01,0.02,0.05,0.1,0.15,0.21,0.56
CAN,,0,0,0.01,0.02,0.04,0.06,0.07,0.08,0.28
CAF,,0,0,0,0,0,0,0,0.01,0.02
TCD,,0,0,0,0.01,0.03,0.05,0.07,0.1,0.26
CHL,,0,0,0,0,0.01,0.01,0.01,0.01,0.05
CHN,,0.68,6.23,13.56,20.97,30.96,37.88,40.14,39.56,189.97
COL,,0,0.01,0.02,0.03,0.05,0.07,0.08,0.08,0.33
COM,,0,0,0,0,0,0,0,0,0
COG,,0,0.04,0.14,0.37,0.88,1.68,2.65,3.66,9.41
CRI,,0,0,0,0,0,0,0,0,0
CIV,,0,0,0.01,0.03,0.06,0.11,0.18,0.26,0.65
HRV,,0,0,0,0,0,0,0,0,0
CUB,,0,0,0,0,0,0,0,0,0.01
CYP,,0,0,0,0,0,0,0,0,0
CZE,,0,0,0,0,0,0,0,0,0.01
COD,,0,0,0,0,0,0.01,0.01,0.01,0.03
DNK,,0,0,0,0,0,0,0,0,0.01
DJI,,0,0,0,0,0,0,0,0,0
DMA,,0,0,0,0,0,0,0,0,0
DOM,,0,0,0,0,0,0,0.01,0.01,0.02
