Country,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2
AFG,0,0.4,3.97,9.26,16,26.45,36.24,42.85,46.56,0.18
ALB,0,2.94,29.4,68.6,118.58,196,268.52,317.53,344.97,1.35
DZA,0,5.33,53.27,124.29,214.84,355.11,486.5,575.27,624.99,2.44
AGO,0,1.56,15.63,36.47,63.03,104.19,142.74,168.79,183.37,0.72
ATG,0,6.49,64.88,151.38,261.68,432.52,592.56,700.69,761.24,2.97
ARG,0,8.31,83.08,193.86,335.1,553.88,758.82,897.29,974.84,3.81
ARM,0,7.2,72.01,168.03,290.45,480.08,657.71,777.73,844.94,3.3
AUS,0,28.94,289.38,675.21,1167.15,1929.18,2642.97,3125.26,3395.35,13.25
AUT,0,21.71,217.08,506.52,875.55,1447.19,1982.65,2344.45,2547.05,9.94
AZE,0,7.89,78.94,184.2,318.4,526.28,721.01,852.58,926.26,3.62
BHS,0,14.83,148.28,345.98,598.06,988.53,1354.28,1601.41,1739.81,6.79
BHR,0,34.86,348.63,813.47,1406.15,2324.21,3184.17,3765.22,4090.61,15.97
BGD,0,0.26,2.56,5.97,10.32,17.06,23.38,27.64,30.03,0.12
BRB,0,5.67,56.68,132.25,228.6,377.85,517.66,612.12,665.02,2.6
BLR,0,18.77,187.71,437.99,757.11,1251.41,1714.44,2027.29,2202.49,8.6
BEL,0,34.79,347.89,811.73,1403.14,2319.24,3177.36,3757.17,4081.87,15.93
BLZ,0,1.9,19,44.33,76.62,126.64,173.5,205.16,222.89,0.87
BEN,0,0.35,3.53,8.24,14.25,23.55,32.26,38.15,41.45,0.16
BTN,0,0.47,4.73,11.05,19.1,31.56,43.24,51.13,55.55,0.22
BOL,0,1.6,15.96,37.23,64.35,106.37,145.73,172.32,187.21,0.73
BIH,0,10.63,106.3,248.04,428.76,708.69,970.9,1148.08,1247.29,4.87
BWA,0,1.99,19.92,46.48,80.34,132.8,181.94,215.14,233.73,0.91
BRA,0,2.78,27.79,64.84,112.08,185.26,253.8,300.11,326.05,1.27
BRN,0,12.48,124.77,291.14,503.25,831.82,1139.59,1347.55,1464,5.71
BGR,0,12.45,124.5,290.49,502.14,829.98,1137.07,1344.56,1460.76,5.7
BFA,0,0.13,1.28,2.98,5.15,8.52,11.67,13.8,14.99,0.06
BDI,0,0.08,0.78,1.83,3.16,5.22,7.15,8.46,9.19,0.04
CPV,0,0.65,6.45,15.05,26.02,43.01,58.93,69.68,75.7,0.3
KHM,0,0.17,1.71,3.98,6.88,11.38,15.59,18.44,20.03,0.08
CMR,0,0.42,4.22,9.85,17.02,28.14,38.55,45.58,49.52,0.19
CAN,0,38.81,388.06,905.48,1565.19,2587.1,3544.32,4191.1,4553.29,17.77
